Size;Problem;Time(ms);Generations;Fitness;Regenerators;Disconnected
40.0;1.0;113.332;17.288;1108.8;11.088;0.0
40.0;2.0;101.448;15.248;605.2;6.052;0.0
40.0;3.0;110.356;16.142;453.6;4.536;0.0
40.0;4.0;63.992;8.864;382.4;3.824;0.0
40.0;5.0;50.788;6.944;300.0;3.0;0.0
40.0;6.0;29.972;3.64;300.0;3.0;0.0
40.0;7.0;39.914;5.6;200.0;2.0;0.0
40.0;8.0;25.04;3.768;200.0;2.0;0.0
40.0;9.0;21.204;3.178;200.0;2.0;0.0
60.0;1.0;457.618;56.584;1165.6;11.656;0.0
60.0;2.0;221.812;25.188;713.6;7.136;0.0
60.0;3.0;248.096;27.294;505.8;5.058;0.0
60.0;4.0;150.444;15.872;400.0;4.0;0.0
60.0;5.0;392.52;41.18;322.4;3.224;0.0
60.0;6.0;58.684;6.704;300.0;3.0;0.0
60.0;7.0;195.374;21.828;210.0;2.1;0.0
60.0;8.0;45.36;5.804;200.0;2.0;0.0
60.0;9.0;37.19;4.926;200.0;2.0;0.0
80.0;1.0;536.952;49.894;1296.4;12.964;0.0
80.0;2.0;504.532;45.428;755.6;7.556;0.0
80.0;3.0;489.296;39.956;550.2;5.502;0.0
80.0;4.0;699.364;51.908;445.2;4.452;0.0
80.0;5.0;370.012;27.17;383.4;3.834;0.0
80.0;6.0;125.912;10.816;300.0;3.0;0.0
80.0;7.0;204.66;17.306;281.0;2.81;0.0
80.0;8.0;74.444;7.76;200.0;2.0;0.0
80.0;9.0;58.1285140562249;6.524096385542169;200.0;2.0;0.0
100.0;1.0;731.042;52.76;1339.2;13.392;0.0
100.0;2.0;948.032;61.856;811.6;8.116;0.0
100.0;3.0;1344.022;80.47;600.6;6.006;0.0
100.0;4.0;875.756;50.232;475.2;4.752;0.0
100.0;5.0;279.988;17.302;400.0;4.0;0.0
100.0;6.0;327.02;20.292;300.0;3.0;0.0
100.0;7.0;488.938;30.432;271.2;2.712;0.0
100.0;8.0;131.076;10.524;200.0;2.0;0.0
100.0;9.0;89.948;7.908;200.0;2.0;0.0
40.0;1.0;183.334;31.958;3054.2;11.322;0.0
40.0;3.0;57.872;8.784;1062.4;4.782;0.0
40.0;5.0;113.016;18.88;684.2;3.21;0.0
40.0;7.0;59.022;9.51;471.6;2.206;0.0
40.0;9.0;24.504;3.768;400.0;2.0;0.0
60.0;1.0;600.048;78.248;3033.6;12.026;0.0
60.0;3.0;270.76;30.478;1184.8;5.422;0.0
60.0;5.0;128.686;14.774;763.0;3.758;0.0
60.0;7.0;247.088;27.194;523.8;2.438;0.0
60.0;9.0;43.6;5.67;400.0;2.0;0.0
80.0;1.0;698.264;66.208;3351.0;13.598;0.0
80.0;3.0;574.44;47.42;1295.2;6.138;0.0
80.0;5.0;177.306;14.98;799.4;3.982;0.0
80.0;7.0;78.818;7.916;600.0;3.0;0.0
80.0;9.0;63.11646586345382;7.096385542168675;400.0;2.0;0.0
100.0;1.0;900.5;67.85;3414.6;14.196;0.0
100.0;3.0;748.334;50.846;1366.8;6.66;0.0
100.0;5.0;519.838;33.052;807.6;4.008;0.0
100.0;7.0;230.66;17.218;594.4;2.944;0.0
100.0;9.0;92.172;8.706;400.0;2.0;0.0